VoterId,ElectionDate,ElectionDescription,VotingMethod
801179,12/12/2005,12/12/2005 - SD SPEC ELECT ISD 2134 - UNITED SOUTH CENTRAL,P
801179,03/14/2006,03/14/2006 - TOWNSHIP ELECTION,P
801179,09/12/2006,09/12/2006 - STATE PRIMARY,P
801179,11/07/2006,11/07/2006 - STATE GENERAL,P
801179,03/13/2007,03/13/2007 - TOWNSHIP ELECTION,P
801179,03/11/2008,03/11/2008 - TOWNSHIP ELECTION,P
801179,11/04/2008,11/04/2008 - STATE GENERAL,P
801179,03/09/2010,03/09/2010 - TOWNSHIP ELECTION,P
801179,11/02/2010,11/02/2010 - STATE GENERAL,P
801179,03/08/2011,03/08/2011 - TOWNSHIP ELECTION,P
801179,03/13/2012,03/13/2012 - TOWNSHIP ELECTION,P
801179,08/14/2012,08/14/2012 - STATE PRIMARY,P
801179,11/06/2012,11/06/2012 - STATE GENERAL,P
801179,03/12/2013,03/12/2013 - TOWNSHIP ELECTION,P
801179,03/11/2014,03/11/2014 - TOWNSHIP ELECTION,P
801179,11/04/2014,11/04/2014 - STATE GENERAL,P
801179,11/08/2016,11/08/2016 - STATE GENERAL,P
801179,11/06/2018,11/06/2018 - STATE GENERAL,P
801179,11/03/2020,11/03/2020 - STATE GENERAL,P
801179,11/02/2021,11/02/2021 - SD SPEC ELECT ISD 2397 - LE SUEUR-HENDERSON,P
801179,08/09/2022,08/09/2022 - STATE PRIMARY,P
801179,11/08/2022,11/08/2022 - STATE GENERAL,P
801283,11/07/2000,STATE GENERAL,A
801283,12/31/1999,SPECIAL ELECTION,P
801283,11/03/1998,STATE GENERAL,P
801283,11/02/2004,11/02/2004 - STATE GENERAL,P
801283,11/05/2002,11-05-2002 STATE GENERAL ELECTION,A
801283,11/07/2006,11/07/2006 - STATE GENERAL,P
801283,11/04/2008,11/04/2008 - STATE GENERAL,P
800640,11/04/1997,SCHOOL BOARD ELECTION,P
800640,11/02/1999,SCHOOL BOARD ELECTION,P
800640,11/04/2008,11/04/2008 - STATE GENERAL,P
800640,11/02/2010,11/02/2010 - STATE GENERAL,P
800640,11/06/2012,11/06/2012 - STATE GENERAL,P
800640,11/04/2014,11/04/2014 - STATE GENERAL,P
800640,11/08/2016,11/08/2016 - STATE GENERAL,P
800640,11/06/2018,11/06/2018 - STATE GENERAL,P
800640,11/03/2020,11/03/2020 - STATE GENERAL,P
800640,11/02/2021,11/02/2021 - SD SPEC ELECT ISD 720 - SHAKOPEE,P
800640,11/08/2022,11/08/2022 - STATE GENERAL,P
800078,11/08/2016,11/08/2016 - STATE GENERAL,P
800078,11/06/2018,11/06/2018 - STATE GENERAL,P
800078,11/03/2020,11/03/2020 - STATE GENERAL,A
800429,11/07/2017,11/07/2017 - MUNICIPAL GENERAL,P
800429,11/03/2009,11/03/2009 - MUNICIPAL GENERAL,P
800429,11/02/2010,11/02/2010 - STATE GENERAL,P
800429,11/03/1998,STATE GENERAL,P
800429,11/07/2006,11/07/2006 - STATE GENERAL,A
800429,09/09/2008,09/09/2008 - STATE PRIMARY,P
800429,11/04/2008,11/04/2008 - STATE GENERAL,A
800429,11/04/2014,11/04/2014 - STATE GENERAL,P
800429,11/04/1997,SCHOOL BOARD ELECTION,P
800429,09/10/2002,09-10-02 STATE PRIMARY,P
800429,11/05/2002,11-05-02 STATE GENERAL ELECTION,A
800429,11/02/2004,11/02/2004 - STATE GENERAL,A
800429,11/08/2005,11/08/2005 - MUNICIPAL GENERAL,P
800429,08/14/2012,08/14/2012 - STATE PRIMARY,P
800429,11/06/2012,11/06/2012 - STATE GENERAL,A
800429,11/06/2001,2001 CITY/SCHOOL,P
800429,11/06/2007,11/06/2007 - MUNICIPAL GENERAL,A
800429,11/08/2016,11/08/2016 - STATE GENERAL,A
800429,11/05/1996,STATE GENERAL,P
800429,11/08/2022,11/08/2022 - STATE GENERAL,P
802079,11/07/2000,STATE GENERAL,P
802079,04/02/2002,SCHOOL DISTRICT REFERENDUM ISD#2134,P
802079,11/05/2002,11-05-2002 STATE GENERAL ELECTION,P
802079,11/07/2006,11/07/2006 - STATE GENERAL,P
802079,11/04/2008,11/04/2008 - STATE GENERAL,P
802079,08/10/2010,08/10/2010 - STATE PRIMARY,P
802079,11/02/2010,11/02/2010 - STATE GENERAL,P
802079,11/08/2011,11/08/2011 - SD SPEC ELECT ISD 761 - OWATONNA,P
802079,02/07/2012,02/07/2012 - SPEC PRI STEELE CO COM 05,P
802079,11/06/2012,11/06/2012 - STATE GENERAL,P
807857,11/02/2004,11/02/2004 - STATE GENERAL,P
807857,11/07/2000,STATE GENERAL,P
807857,11/07/2000,SCHOOL BOARD ELECTION,P
807857,11/02/1999,SCHOOL BOARD ELECTION,P
807857,09/15/1998,STATE PRIMARY ELECTION,P
807857,11/03/1998,STATE GENERAL,P
807857,11/04/1997,SCHOOL BOARD ELECTION,P
807857,09/10/1996,STATE PRIMARY ELECTION,P
807857,11/05/1996,STATE GENERAL,P
807857,11/05/1996,SCHOOL BOARD ELECTION,P
807857,11/07/1995,SCHOOL BOARD ELECTION,P
807857,11/08/1994,STATE GENERAL,P
807857,11/02/1993,SCHOOL BOARD ELECTION,P
807857,11/07/2006,11/07/2006 - STATE GENERAL,P
807857,11/04/2008,11/04/2008 - STATE GENERAL,P
807857,11/02/2010,11/02/2010 - STATE GENERAL,P
807857,11/06/2012,11/06/2012 - STATE GENERAL,P
807857,11/04/2014,11/04/2014 - STATE GENERAL,P
807857,11/08/2016,11/08/2016 - STATE GENERAL,P
807857,11/06/2018,11/06/2018 - STATE GENERAL,M
807857,11/03/2020,11/03/2020 - STATE GENERAL,A
807857,11/08/2022,11/08/2022 - STATE GENERAL,A
801283,11/02/2010,11/02/2010 - STATE GENERAL,P
801283,11/06/2012,11/06/2012 - STATE GENERAL,P
801283,11/05/2013,11/05/2013 - MUNICIPAL GENERAL,P
801283,11/04/2014,11/04/2014 - STATE GENERAL,P
801283,11/08/2016,11/08/2016 - STATE GENERAL,P
801283,11/06/2018,11/06/2018 - STATE GENERAL,P
801283,11/03/2020,11/03/2020 - STATE GENERAL,P
801283,11/08/2022,11/08/2022 - STATE GENERAL,P
801283,04/11/2023,04/11/2023 - SD SPEC ELECT ISD 717 - JORDAN,P
802079,11/05/2013,11/05/2013 - SD SPEC ELECT ISD 761 - OWATONNA,P
802079,11/06/2012,11/06/2012 - STATE GENERAL,P
